name,artists,primary_color,album_name,album_image,album_type,spotify_url
Como vas?,Kidd Keo,undefined,BACK TO ROCKPORT,https://i.scdn.co/image/ab67616d0000b273bfd9529b9525565e385ecde5,album,https://open.spotify.com/track/3J07YIMTnaBv4p6QerX7hT
Shoota (feat. Lil Uzi Vert),Playboi Carti, Lil Uzi Vert,undefined,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
1,Yung Bambi, Zotiyac, Hounds,undefined,1,https://i.scdn.co/image/ab67616d0000b2730bbb7541e7620d0e9d557fc2,single,https://open.spotify.com/track/6FfnygS2FqlEQe9ZAP1rfA
Sky,Playboi Carti,undefined,Whole Lotta Red,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb,album,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
Air,Alx Beats,undefined,Late Night Drive,https://i.scdn.co/image/ab67616d0000b2734af41a7c640358f49e680d1e,album,https://open.spotify.com/track/6MKYDJRHgQLMvbWrzzsrNz
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey, A$AP Rocky, Playboi Carti,undefined,Lust For Life,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190,album,https://open.spotify.com/track/5QqyRUZeBE04yJxsD1OC0I
Hearts Ain't Gonna Lie - High Contrast Remix,Arlissa, Jonas Blue, High Contrast,undefined,Hearts Ain't Gonna Lie (Remixes, Pt. 1),https://i.scdn.co/image/ab67616d0000b2739a2e610b5a9050e3b95aad80,single,https://open.spotify.com/track/3a4C6OhiiVAaHU3PoeiRgk
Not Afraid,The Rare Occasions,undefined,Not Afraid,https://i.scdn.co/image/ab67616d0000b273ef0d2e3321de15d84ea7f33f,single,https://open.spotify.com/track/1f8ZnfsP7Q4yazdcfEN2XK
Opp Stoppa,YBN Nahmir,undefined,VISIONLAND,https://i.scdn.co/image/ab67616d0000b273fa90e1a538352bc8382de43d,album,https://open.spotify.com/track/4l8CIibQf8cVk5BcrquSiD
Gratis,Muerejoven, Halpe,undefined,Gratis,https://i.scdn.co/image/ab67616d0000b273be441f7dc2597136f3bd4d66,single,https://open.spotify.com/track/5OwgBDFrJDAYIrRGpZqXtL
